img_id,pipeline,caption_bytes,ssim,psnr,lpips,clip_i,clip_t_orig,cmsc,safe
05_02_0001,A_Baseline,38,8.945,9.557,0.798,57.422,21.875,20.508,False
05_02_0002,A_Baseline,123,7.587,8.9,0.829,63.281,28.32,20.508,False
05_02_0003,A_Baseline,399,5.492,9.489,0.8138,51.172,28.906,16.602,False
05_02_0004,A_Baseline,95,10.769,10.227,0.9023,57.031,19.238,23.145,False
05_02_0005,A_Baseline,95,9.562,10.375,0.9052,63.281,19.629,23.145,False
05_02_0006,A_Baseline,32,12.086,9.78,0.8265,51.562,15.82,16.602,False
05_02_0007,A_Baseline,95,8.153,8.841,0.8519,59.375,21.387,23.145,False
05_02_0008,A_Baseline,95,14.725,10.055,0.8884,60.547,20.117,23.145,False
05_02_0009,A_Baseline,56,12.927,8.944,0.9016,72.266,27.93,24.805,False
05_02_0010,A_Baseline,65,9.244,9.06,0.7846,69.141,21.875,22.559,False
05_02_0011,A_Baseline,96,8.064,8.992,0.8867,73.828,24.023,24.121,False
05_02_0012,A_Baseline,272,10.432,9.064,0.8999,57.812,19.824,19.922,False
05_02_0013,A_Baseline,69,9.732,11.412,0.7432,50.391,20.898,18.652,False
05_02_0014,A_Baseline,95,7.569,9.351,0.9031,56.641,19.922,23.145,False
05_02_0015,A_Baseline,36,7.259,9.238,0.8276,71.875,22.266,32.617,True
05_02_0016,A_Baseline,81,11.229,8.099,0.9118,58.594,23.145,23.535,False
05_02_0017,A_Baseline,169,13.045,9.12,0.8252,63.672,25.586,28.32,True
05_02_0018,A_Baseline,28,11.231,10.089,0.8686,65.234,18.652,18.945,False
05_02_0019,A_Baseline,181,11.783,10.746,0.9081,61.328,26.953,29.688,True
05_02_0020,A_Baseline,26,9.703,10.109,0.8294,71.484,15.82,21.289,False
05_02_0021,A_Baseline,95,9.822,8.52,0.8741,52.344,16.797,23.145,False
05_02_0022,A_Baseline,92,8.627,10.194,0.8925,67.188,22.852,23.828,False
05_02_0023,A_Baseline,95,17.066,9.779,0.8566,62.5,21.484,23.145,False
05_02_0024,A_Baseline,95,13.971,9.546,0.9008,53.906,18.262,23.145,False
05_02_0025,A_Baseline,95,11.164,10.02,0.9021,58.594,20.117,23.145,False
05_02_0026,A_Baseline,95,12.854,8.782,0.86,54.297,19.043,23.145,False
05_02_0027,A_Baseline,95,13.379,9.71,0.8744,58.203,19.434,23.145,False
05_02_0028,A_Baseline,95,13.937,10.07,0.8698,56.25,18.652,23.145,False
05_02_0029,A_Baseline,95,8.893,8.517,0.8746,63.672,21.582,23.145,False
05_02_0030,A_Baseline,75,8.761,10.014,0.8129,80.078,31.055,29.102,True
05_02_0031,A_Baseline,95,10.845,9.471,0.871,61.328,21.094,23.145,False
05_02_0032,A_Baseline,24,11.661,10.789,0.8616,65.234,12.891,16.895,False
05_02_0033,A_Baseline,24,8.544,10.613,0.8345,70.703,24.219,21.191,False
05_02_0034,A_Baseline,42,15.095,9.515,0.8932,62.5,23.438,24.121,False
05_02_0035,A_Baseline,95,14.367,9.432,0.8911,60.156,23.633,23.145,False
05_02_0036,A_Baseline,95,12.132,10.288,0.8896,59.766,19.824,23.145,False
1,A_Baseline,95,32.049,9.174,0.8619,60.547,17.09,23.145,False
10,A_Baseline,95,30.065,10.021,0.7782,60.938,15.137,23.145,False
100,A_Baseline,95,29.808,8.992,0.8176,58.984,13.574,23.145,False
101,A_Baseline,103,30.587,10.534,0.6646,71.484,25.586,26.562,False
102,A_Baseline,146,29.169,10.117,0.7482,52.344,21.191,26.367,False
103,A_Baseline,95,19.846,7.625,0.925,62.891,18.359,23.145,False
104,A_Baseline,95,10.76,6.793,0.8396,49.414,10.449,23.145,False
106,A_Baseline,57,18.067,7.082,0.8256,57.031,21.875,23.438,False
107,A_Baseline,95,24.496,8.325,0.7511,64.453,20.41,23.145,False
11,A_Baseline,136,11.878,10.812,0.8311,94.141,23.535,25.0,False
110,A_Baseline,23,18.532,8.617,0.8263,82.812,21.68,20.801,False
111,A_Baseline,58,18.502,7.632,0.8036,75.0,23.535,22.949,False
112,A_Baseline,78,18.799,7.402,0.7373,52.344,16.602,21.582,False
113,A_Baseline,95,28.619,10.175,0.8304,60.547,19.727,23.145,False
114,A_Baseline,54,28.19,8.999,0.7579,68.359,25.781,23.828,False
115,A_Baseline,95,31.273,9.609,0.8389,53.125,19.824,23.145,False
116,A_Baseline,31,24.844,8.72,0.8216,73.828,25.391,25.195,False
117,A_Baseline,95,30.071,10.018,0.7406,52.344,12.158,23.145,False
118,A_Baseline,46,19.348,5.947,0.7718,86.328,23.535,26.367,False
12,A_Baseline,22,31.115,10.705,0.8264,49.609,24.023,19.141,False
120,A_Baseline,95,29.583,9.942,0.8175,57.031,16.211,23.145,False
121,A_Baseline,78,27.759,9.331,0.8055,59.375,24.219,24.219,False
122,A_Baseline,58,22.308,8.666,0.822,86.328,25.195,25.586,False
123,A_Baseline,70,18.83,9.507,0.9174,78.906,27.539,28.125,True
124,A_Baseline,95,26.027,9.374,0.7408,54.688,18.066,23.145,False
125,A_Baseline,74,21.437,8.566,0.7715,81.25,24.609,25.0,False
13,A_Baseline,58,23.274,8.911,0.8759,80.469,25.391,24.512,False
14,A_Baseline,78,23.371,9.056,0.8604,81.641,26.367,25.391,False
15,A_Baseline,40,24.354,10.783,0.8375,87.891,21.973,27.344,False
17,A_Baseline,27,35.72,9.304,0.9174,73.438,17.871,20.117,False
18,A_Baseline,35,36.967,9.876,0.7813,90.234,24.902,26.367,False
20,A_Baseline,57,22.001,8.2,0.9704,68.75,21.777,25.391,False
21,A_Baseline,71,26.234,9.094,0.764,83.984,25.391,29.688,True
22,A_Baseline,66,28.611,11.499,0.8712,80.078,22.461,25.0,False
23,A_Baseline,172,42.109,9.749,0.7318,88.281,25.0,27.148,False
24,A_Baseline,95,24.853,7.85,0.9547,55.859,15.137,23.145,False
25,A_Baseline,36,22.463,8.511,0.9479,87.891,24.609,26.953,False
26,A_Baseline,95,30.463,8.601,0.826,46.484,11.621,23.145,False
27,A_Baseline,119,29.012,10.3,0.8887,72.656,26.172,28.516,True
29,A_Baseline,58,11.458,10.317,0.7274,85.156,25.781,25.781,False
3,A_Baseline,157,32.074,10.355,0.9102,76.562,17.676,29.102,True
30,A_Baseline,57,21.798,10.314,0.8186,89.062,25.391,23.535,False
31,A_Baseline,95,8.32,6.702,0.942,63.281,14.258,23.145,False
32,A_Baseline,60,22.458,9.242,0.9597,65.625,23.633,28.711,True
33,A_Baseline,95,26.048,8.308,0.8777,62.891,13.379,23.145,False
34,A_Baseline,98,27.236,9.153,0.8819,78.516,24.512,28.906,True
35,A_Baseline,137,35.463,10.225,0.8237,75.781,22.559,28.906,True
36,A_Baseline,35,37.822,12.084,0.7468,84.375,24.707,27.93,False
37,A_Baseline,49,16.641,10.932,0.7392,89.062,25.391,25.586,False
38,A_Baseline,95,7.923,7.068,0.8714,62.5,13.77,23.145,False
39,A_Baseline,47,21.241,8.889,0.9235,70.703,18.457,26.367,False
40,A_Baseline,95,24.365,8.603,0.9018,59.375,14.16,23.145,False
42,A_Baseline,95,7.923,7.068,0.8714,62.5,13.77,23.145,False
44,A_Baseline,34,18.726,10.543,0.8475,85.156,26.172,25.977,False
45,A_Baseline,76,16.905,9.479,0.893,76.562,25.391,28.125,True
46,A_Baseline,95,30.011,11.908,0.8378,92.188,26.758,27.344,False
47,A_Baseline,52,21.252,10.278,0.9157,83.984,22.754,26.172,False
48,A_Baseline,95,26.111,8.054,0.8852,57.031,15.723,23.145,False
49,A_Baseline,95,18.371,9.176,0.765,59.375,12.598,23.145,False
50,A_Baseline,122,18.006,8.625,0.8749,69.922,22.559,26.172,False
52,A_Baseline,95,12.444,7.721,0.8729,66.797,18.262,23.145,False
53,A_Baseline,95,30.635,11.78,0.8152,58.984,13.086,23.145,False
54,A_Baseline,171,37.908,12.821,0.7716,86.328,30.859,26.562,False
55,A_Baseline,95,33.885,10.575,0.7824,58.984,14.062,23.145,False
56,A_Baseline,58,20.546,12.201,0.7894,76.562,26.172,32.422,True
57,A_Baseline,81,23.779,9.317,0.8495,85.938,25.781,26.562,False
59,A_Baseline,101,30.878,8.072,0.947,82.031,24.805,23.828,False
6,A_Baseline,50,22.905,9.727,0.8757,68.359,22.852,24.609,False
